id,empresa_sigla,empresa_nome,ano,mes,sigla_aeroporto_origem,nome_aeroporto_origem,uf_aeroporto_origem,regiao_aeroporto_origem,sigla_aeroporto_destino,nome_aeroporto_destino,uf_aeroporto_destino,regiao_aeroporto_destino,natureza,grupo_voo,passageiros_pagos,distancia_km,assentos_total
92,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBTU,TUCURUÍ,PA,NORTE,SBBE,BELÉM,PA,NORTE,DOMÉSTICA,REGULAR,43,1500,45
93,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SDH2,PORTO ALEGRE DO NORTE,MT,CENTRO-OESTE,SBCY,VÁRZEA GRANDE,MT,CENTRO-OESTE,DOMÉSTICA,REGULAR,19,4302,54
94,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SDH2,PORTO ALEGRE DO NORTE,MT,CENTRO-OESTE,SWHP,ÁGUA BOA,MT,CENTRO-OESTE,DOMÉSTICA,REGULAR,8,350,9
95,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SNEB,PARAGOMINAS,PA,NORTE,SBBE,BELÉM,PA,NORTE,DOMÉSTICA,REGULAR,34,892,36
96,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SNEE,VACARIA,RS,SUL,SBPA,PORTO ALEGRE,RS,SUL,DOMÉSTICA,REGULAR,47,1740,90
97,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SNHS,SERRA TALHADA,PE,NORDESTE,SBRF,RECIFE,PE,NORDESTE,DOMÉSTICA,REGULAR,177,12000,288
98,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SNMA,MONTE ALEGRE,PA,NORTE,SNTI,ÓBIDOS,PA,NORTE,DOMÉSTICA,REGULAR,29,1127,63
99,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SNOX,ORIXIMINÁ,PA,NORTE,SBTB,ORIXIMINÁ,PA,NORTE,DOMÉSTICA,REGULAR,12,469,63
100,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SNRJ,BREJO,PA,NORTE,SBIH,ITAITUBA,PA,NORTE,DOMÉSTICA,REGULAR,17,1374,54
101,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SNRU,CARUARU,PE,NORDESTE,SBRF,RECIFE,PE,NORDESTE,DOMÉSTICA,REGULAR,205,3630,270
102,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SNTI,ÓBIDOS,PA,NORTE,SNOX,ORIXIMINÁ,PA,NORTE,DOMÉSTICA,REGULAR,28,280,63
103,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SNTS,PATOS,PB,NORDESTE,SBRF,RECIFE,PE,NORDESTE,DOMÉSTICA,REGULAR,120,4828,153
104,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SNVS,BREVES,PA,NORTE,SBBE,BELÉM,PA,NORTE,DOMÉSTICA,REGULAR,165,6160,252
105,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SNYA,ALMEIRIM,PA,NORTE,SBBE,BELÉM,PA,NORTE,DOMÉSTICA,REGULAR,64,5016,99
106,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SSCN,CANELA,RS,SUL,SBPA,PORTO ALEGRE,RS,SUL,DOMÉSTICA,REGULAR,69,1386,162
107,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SSER,ERECHIM,RS,SUL,SBPA,PORTO ALEGRE,RS,SUL,DOMÉSTICA,REGULAR,48,2529,81
108,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SSLT,ALEGRETE,RS,SUL,SBPA,PORTO ALEGRE,RS,SUL,DOMÉSTICA,REGULAR,84,5472,108
109,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SSOU,ARIPUANÃ,MT,CENTRO-OESTE,SWJN,JUÍNA,MT,CENTRO-OESTE,DOMÉSTICA,REGULAR,56,2080,117
110,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SSSB,SÃO BORJA,RS,SUL,SBPA,PORTO ALEGRE,RS,SUL,DOMÉSTICA,REGULAR,38,3952,72
111,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SSSC,SANTA CRUZ DO SUL,RS,SUL,SBPA,PORTO ALEGRE,RS,SUL,DOMÉSTICA,REGULAR,44,1000,72
112,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SSZR,SANTA ROSA,RS,SUL,SBPA,PORTO ALEGRE,RS,SUL,DOMÉSTICA,REGULAR,62,4000,90
113,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SWFX,SÃO FÉLIX DO ARAGUAIA,MT,CENTRO-OESTE,SBCY,VÁRZEA GRANDE,MT,CENTRO-OESTE,DOMÉSTICA,REGULAR,12,1474,18
114,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SWFX,SÃO FÉLIX DO ARAGUAIA,MT,CENTRO-OESTE,SDH2,PORTO ALEGRE DO NORTE,MT,CENTRO-OESTE,DOMÉSTICA,REGULAR,23,768,54
